"","Cow","lay","lay1"
"1",189,1320,60
"2",190,1312.95,59.6795454545455
"3",191,1319.7,59.9863636363636
"4",192,1313.33333333333,59.6969696969697
"5",193,1320,60
"6",194,1062.61666666667,48.3007575757576
"7",195,291.95,13.2704545454545
"8",196,1319.48333333333,59.9765151515152
"9",197,1318,59.9090909090909
"10",198,1309.58333333333,59.5265151515151
"11",199,1300.6,59.1181818181818
"12",200,1110.11666666667,50.4598484848485
"13",201,1286.63333333333,58.4833333333333
"14",202,600.466666666667,27.2939393939394
"15",203,674.45,30.6568181818182
"16",204,1318.01666666667,59.9098484848485
"17",205,741.316666666667,33.6962121212121
"18",206,1169.48333333333,53.1583333333333
"19",207,1319.78333333333,59.9901515151515
"20",208,1064.16666666667,48.3712121212121
"21",209,1111.86666666667,50.5393939393939
"22",210,266.05,12.0931818181818
"23",211,1303.43333333333,59.2469696969697
"24",212,522.9,23.7681818181818
"25",213,1274.8,57.9454545454545
"26",214,1320,60
"27",215,1079.18333333333,49.0537878787879
"28",217,1320,60
"29",218,316.9,14.4045454545455
"30",219,1317.4,59.8818181818182
"31",220,287.033333333333,13.0469696969697
"32",221,855,38.8636363636364
"33",222,1320,60
"34",225,1319.03333333333,59.9560606060606
"35",226,1320,60
"36",227,1319.88333333333,59.994696969697
"37",228,1316.58333333333,59.844696969697
"38",229,1319.83333333333,59.9924242424242
"39",230,1320,60
"40",231,1320,60
"41",232,251.283333333333,11.4219696969697
"42",233,39.0166666666667,1.77348484848485
"43",234,1320,60
"44",235,1306.75,59.3977272727273
"45",236,1305.06666666667,59.3212121212121
"46",237,1311.88333333333,59.6310606060606
"47",238,332.2,15.1
"48",239,1320,60
"49",240,1286.63333333333,58.4833333333333
"50",241,1314.56666666667,59.7530303030303
"51",242,1058.45,48.1113636363636
"52",243,323.233333333333,14.6924242424242
"53",244,1313.53333333333,59.7060606060606
"54",245,1300.63333333333,59.119696969697
"55",246,1320,60
"56",247,277.666666666667,12.6212121212121
"57",248,1065.21666666667,48.4189393939394
"58",249,1320,60
"59",250,1320,60
"60",251,1278.21666666667,58.1007575757576
"61",252,1319.35,59.9704545454545
"62",253,1061.73333333333,48.2606060606061
"63",254,672.333333333333,30.5606060606061
"64",255,1048.56666666667,47.6621212121212
"65",256,1058.71666666667,48.1234848484848
"66",257,1061.21666666667,48.2371212121212
"67",258,310.366666666667,14.1075757575758
"68",259,1104.26666666667,50.1939393939394
"69",260,1310.6,59.5727272727273
"70",261,1284.9,58.4045454545455
"71",262,1312.38333333333,59.6537878787879
