"","LOAD","trvH","trvHsd"
"1","2025-06-23_3.5_B",22.7083333333333,0.467065399339359
"2","2025-06-23_3_B",22.6018518518519,0.518312374427745
"3","2025-06-23_3_D",25,0
"4","2025-06-23_4.5_B",22.4397163120567,0.512261015028209
"5","2025-06-24_3.5_B",20.5923913043478,0.492730475467093
"6","2025-06-24_4.5_D",24.6304347826087,0.484004048764799
"7","2025-06-25_3.5_D",28.2933884297521,0.456258559801945
"8","2025-06-30_3.5_B",22.030303030303,0.426401432711221
"9","2025-06-30_3_B",22.1797235023041,0.652597315753304
"10","2025-06-30_4.5_B",22.4478527607362,0.762981272791947
"11","2025-06-30_4.5_D",25.5771428571429,0.495430681260576
"12","2025-07-01_3_D",NA,NA
"13","2025-07-02_3.5_B",20.4353448275862,0.496874091962112
"14","2025-07-02_3.5_D",25,0
"15","2025-07-02_4.5_B",20.0742857142857,0.711297526195443
"16","2025-07-07_3_B",21.4742647058824,0.500257693524588
"17","2025-07-07_4.5_B",21,0
"18","2025-07-07_4.5_D",24.9540229885057,0.210039686699217
"19","2025-07-08_3.5_B",NA,NA
"20","2025-07-08_3.5_D",NA,NA
"21","2025-07-08_4.5_B",NA,NA
"22","2025-07-09_3_D",25.576512455516,0.494992720748807
"23","2025-07-10_3_B",22.0107913669065,0.15859976075936
"24","2025-07-14_3.5_B",21.4309623430962,0.496250134564204
"25","2025-07-14_3.5_D",25.140350877193,0.348114948417908
"26","2025-07-15_3_D",25.8530465949821,0.374429592051472
"27","2025-07-16_3.5_B",21.6540084388186,0.476697199768855
"28","2025-07-21_3.5_B",21.4193548387097,0.494594435789545
"29","2025-07-21_3_B",21.518115942029,0.500579374470151
"30","2025-07-21_4.5_B",21.5628415300546,0.497396090006435
"31","2025-07-21_4.5_D",25.1153846153846,0.3203668742655
"32","2025-07-22_3.5_D",25.5708333333333,0.495991603609141
"33","2025-07-22_4.5_B",21.5666666666667,0.496917874805964
"34","2025-07-23_3.5_D",25.304347826087,0.461386137604274
"35","2025-07-28_3.5_B",21.8464730290456,0.361244965793578
"36","2025-07-28_3_B",21.9892857142857,0.921600324554048
"37","2025-07-28_4.5_B",21.7417582417582,0.438874989202128
"38","2025-07-28_4.5_D",25.906432748538,0.292081011894748
"39","2025-07-29_3_D",24.8489208633094,0.35877185342812
"40","2025-07-29_4.5_B",20.9782608695652,0.146228421475878
"41","2025-07-30_3.5_B",20.7261410788382,0.446865524157434
"42","2025-07-30_4.5_B",19.695652173913,0.461386137604274
"43","2025-08-01_3.5_D",26.3734439834025,0.484725186290197
"44","2025-08-20_3_B",22.4714285714286,0.500076799017426
"45","2025-08-20_4.5_B",20.8594594594595,0.348490112344497
